bridge_name,state,year_failed,cause,location_text,prefailure_nbi_year,nbi_data_available,download_url,fatalities,injuries,damage_cost_usd,notes
Dry Creek Bridge,CO,1904,scour,"Dry Creek Bridge Eden, Colorado",1903,no,,111,,,Scraped from Wikipedia. Original cause: Sudden washout
Portage Canal Swing Bridge,MI,1905,collision,"Portage Canal Swing Bridge Houghton, Michigan",1904,no,,0,0,,Scraped from Wikipedia. Original cause: Swing span struck by the steamer Northern Wave.
Cimarron River Rail Crossing,OK,1906,misc,"Cimarron River Rail Crossing Dover, Oklahoma Territory",1905,no,,0,,,Scraped from Wikipedia. Original cause: Washed out under pressure from debris during high water
Division Street Bridge,WA,1915,collision,"Division Street Bridge Spokane, Washington",1914,no,,7,10,,"Scraped from Wikipedia. Original cause: Collapsed a week after being resurfaced; poor steel, metal fatigue, and a previous impact by another bridge swept downstream during a flood"
Grand Avenue Bridge,WI,1920,collision,"Grand Avenue Bridge Neillsville, Wisconsin",1919,no,,1,0,,Scraped from Wikipedia. Original cause: Believed weakened by heavy trucks hauling shale in prior months
Greenfield Bridge,PA,1921,misc,"Greenfield Bridge Pittsburgh, Pennsylvania",1920,no,,0,0,,Scraped from Wikipedia. Original cause: Collapsed
Appomattox River Drawbridge,VA,1935,misc,"Appomattox River Drawbridge Hopewell, Virginia",1934,no,,14,,,Scraped from Wikipedia. Original cause: Bus drove across the open drawbridge.
Falling Creek Bridge,VA,1936,collision,"Falling Creek Bridge Chesterfield County, Virginia",1935,no,,4,5,,"Scraped from Wikipedia. Original cause: Truck crossing the bridge struck a tie rod causing collapse. One truck fell 15 feet to the creek bed, a second escaped to safety."
Honeymoon Bridge (Upper Steel Arch Bridge),NY,1938,misc,"Honeymoon Bridge (Upper Steel Arch Bridge) Niagara Falls, New York – Niagara Falls, Ontario",1937,no,,0,0,,Scraped from Wikipedia. Original cause: Ice jam in gorge pushed bridge off foundations
Tacoma Narrows Bridge,WA,1940,construction,"Tacoma Narrows Bridge Tacoma, Washington",1939,no,,0,0,,Scraped from Wikipedia. Original cause: Aerodynamically poor design resulted in aeroelastic flutter
Chesapeake City Bridge,MD,1942,misc,"Chesapeake City Bridge Chesapeake City, Maryland",1941,no,,0,,,"Scraped from Wikipedia. Original cause: Tanker Franz Klasen rammed the movable bridge supports, causing collapse"
John P. Grace Memorial Bridge,SC,1946,collision,"John P. Grace Memorial Bridge Charleston, South Carolina",1945,no,,5,,,Scraped from Wikipedia. Original cause: Three spans collapsed due to collision by the freighter Nicaragua Victory
I-29 Big Sioux River Bridge,IA,1962,scour,"I-29 Big Sioux River Bridge Sioux City, Iowa",1961,no,,0,,,Scraped from Wikipedia. Original cause: Northbound road deck collapsed into Big Sioux River as a result of heavy flooding
